Unnamed: 0,composition,target (S/cm),log_target,Arrhenius Barrier (eV),structure files,temperature,Link to reference
188,Li6 P1 S5 Cl1,3.3e-05,-4.48148606,0.38,259205.cif,25.0,https://doi.org/10.1039/D2EE03499A
182,Li5.5 La3 Sm0.25 Ta1.75 O12,5.17e-06,-5.286509457,,259166.cif,25.0,https://doi.org/10.1039/D2EE03499A
176,Li1 Sc1 O2,1e-10,-10.0,1.047,257819.cif,25.0,https://doi.org/10.1039/D2EE03499A
299,Li1 La1 Ti1 O4,1e-10,-10.0,0.83,91843.cif,25.0,https://doi.org/10.1039/D2EE03499A
237,Li1 Bi1 O2,3.8e-08,-7.420216403,0.1,46022.cif,25.0,https://doi.org/10.1039/D2EE03499A
216,Li2.5Er0.5Zr0.5Cl6,0.0011,-2.958607315,0.34,34302.cif,25.0,https://doi.org/10.1021/acsenergylett.9b02599
231,Li17 Sb13 S28,1.05e-09,-8.978810701,0.4,429902.cif,25.0,https://doi.org/10.1039/D2EE03499A
417,Li6.25 Sn0.25 P0.75 S5 I1,7.72e-05,-4.1123827,0.337193341,LSnPSI_X025.cif,25.0,10.1021/acs.chemmater.9b01857
20,Li1 Ta2 P1 O8,0.00039,-3.408935393,0.41,110781.cif,25.0,10.1021/acs.chemmater.1c01837
272,Li1 Cd1 Cl4,5.8e-07,-6.236572006,0.44,74958.cif,25.0,https://doi.org/10.1039/D2EE03499A
361,Li5.8 P1 Se4.8 Br1.2,0.001892037,-2.723070375,0.359,Li58PSe48Br12.cif,25.0,Johannes Hartel
107,Li6.2 Si0.2 P0.8 S5 Br1,0.00169,-2.772113295,0.25,234592.cif,25.0,https://doi.org/10.1039/D2EE03499A
126,Ba0.5 Sr0.5 Li6 La2 Ta2 O12,7.1e-06,-5.148741651,0.45,237199.cif,25.0,https://doi.org/10.1039/D2EE03499A
375,Li6.75 P1 S5.75 Cl0.25,0.000586203,-3.231951963,0.444480781,Li6.75PS5.75Cl0.25.cif,25.0,10.1021/acsaem.1c01417
43,Li7 P3 S11,0.017,-1.769551079,0.17,157654.cif,25.0,https://doi.org/10.1039/D2EE03499A
121,Li6 La3 Y0.5 Nb1.5 O12,0.000188,-3.725842151,,237141.cif,25.0,https://doi.org/10.1039/D2EE03499A
